--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:45:28.310  1581  1665 I ActivityManager: Start proc 30422:com.google.android.photopicker/u0a276 for next-top-activity {com.google.android.photopicker/com.android.photopicker.PhotopickerGetContentActivity}
03-21 02:45:28.372  1581  4425 D ActivityManager: sync unfroze 29412 com.google.android.apps.photos for 7
03-21 02:45:28.411 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.475 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.476 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.477 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.477 29412 29829 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.539 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.603 29412 29439 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:28.621 29412 29439 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.081 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.081 29412 29829 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.081 29412 30448 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.634 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.649 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.687 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.688 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:29.734 29412 29437 W libc    : Access denied finding property "ro.debuggable"
03-21 02:45:31.889 30261 30499 D sharp_executorch_full: ModuleCache: loading CPU Part1+Part2 INT8 from /data/user/0/com.furnit.android/files/models_cpu
03-21 02:45:31.893 30261 30499 D sharp_executorch_full: ModuleCache: Part1+Part2 INT8 batch=4 loaded
03-21 02:45:31.893 30261 30499 D sharp_executorch_full: ModuleCache: Part1+Part2 INT8 (CPU) loaded
03-21 02:45:32.830 30261 30499 D sharp_executorch_full: ModuleCache warmup: Part1 forward finished in 936ms
03-21 02:45:33.666 30261 30499 D sharp_executorch_full: ModuleCache warmup: Part2 forward finished in 836ms
03-21 02:45:33.716 30261 30386 D sharp_executorch_full: ModuleCache: released Part1+Part2
03-21 02:45:33.716 30261 30386 D sharp_executorch_full: Released module cache + workspace
03-21 02:45:34.085 30261 30386 D sharp_executorch_full: runFullPipelineInt8: modelDir=/data/user/0/com.furnit.android/files/models_vulkan useVulkan=1 part12OnCpu=1 part1Limits 1x=25 0.5x=0 chunk1x=0 chunk05x=0 yieldMs=0 preferSingleP4b=0 swapTileNdc=0
03-21 02:45:34.114 30261 30386 D sharp_executorch_full: [MEM] after workspace allocate rss=426MB hwm=701MB vmsize=17993MB avail=3824MB workspace_est=149MB
03-21 02:45:34.120 30261 30386 D sharp_executorch_full: Downsample 2x+4x: 6ms
03-21 02:45:34.120 30261 30386 D sharp_executorch_full: ModuleCache: loading CPU Part1+Part2 INT8 from /data/user/0/com.furnit.android/files/models_cpu
03-21 02:45:34.120 30261 30386 D sharp_executorch_full: ModuleCache: Part1+Part2 INT8 batch=4 loaded
03-21 02:45:34.120 30261 30386 D sharp_executorch_full: ModuleCache: Part1+Part2 INT8 (CPU) loaded
03-21 02:45:34.120 30261 30386 D sharp_executorch_full: Part1+Part2 ready (cache): 0ms
03-21 02:45:34.121 30261 30386 D sharp_executorch_full: BEFORE_PART1_FORWARD 1x (0,0) useCache=1 inputNumel=442368 nbytes=1769472 dims=[1,3,384,384] OK
03-21 02:45:34.121 30261 30386 D sharp_executorch_full: BEFORE_PART1_FORWARD input[0..2]=0.67451 0.67451 0.67451
03-21 02:45:34.121 30261 30386 D sharp_executorch_full: Part1 1x (0,0): calling m1->forward (CPU/XNNPACK INT8)
03-21 02:45:34.871 30261 30386 D sharp_executorch_full: AFTER_PART1_FORWARD 1x (0,0) status=ok
03-21 02:45:34.871 30261 30386 D sharp_executorch_full: AFTER_PART1_FORWARD output_size=2 out0_numel=590848
03-21 02:45:34.871 30261 30386 D sharp_executorch_full: Part1 1x (0,0): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:34.871 30261 30386 D sharp_executorch_full: Part1 1x (0,0): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:34.871 30261 30386 D sharp_executorch_full: Part1 1x (0,0): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:34.875 30261 30386 D sharp_executorch_full: Part1 1x (0,0): calling Part2 forward
03-21 02:45:35.649 30261 30386 D sharp_executorch_full: Part1 1x (0,0): Part2 forward returned
03-21 02:45:36.247 30261 30386 D sharp_executorch_full: Part1 1x (0,1): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:36.247 30261 30386 D sharp_executorch_full: Part1 1x (0,1): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:36.247 30261 30386 D sharp_executorch_full: Part1 1x (0,1): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:36.251 30261 30386 D sharp_executorch_full: Part1 1x (0,1): calling Part2 forward
03-21 02:45:36.835 30261 30386 D sharp_executorch_full: Part1 1x (0,1): Part2 forward returned
03-21 02:45:37.435 30261 30386 D sharp_executorch_full: Part1 1x (0,2): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:37.435 30261 30386 D sharp_executorch_full: Part1 1x (0,2): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:37.435 30261 30386 D sharp_executorch_full: Part1 1x (0,2): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:37.439 30261 30386 D sharp_executorch_full: Part1 1x (0,2): calling Part2 forward
03-21 02:45:38.033 30261 30386 D sharp_executorch_full: Part1 1x (0,2): Part2 forward returned
03-21 02:45:38.657 30261 30386 D sharp_executorch_full: Part1 1x (0,3): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:38.657 30261 30386 D sharp_executorch_full: Part1 1x (0,3): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:38.657 30261 30386 D sharp_executorch_full: Part1 1x (0,3): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:38.661 30261 30386 D sharp_executorch_full: Part1 1x (0,3): calling Part2 forward
03-21 02:45:38.859  1581  1984 D ActivityManager: freezing 30390 com.google.android.documentsui
03-21 02:45:39.295 30261 30386 D sharp_executorch_full: Part1 1x (0,3): Part2 forward returned
03-21 02:45:39.933 30261 30386 D sharp_executorch_full: Part1 1x (0,4): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:39.933 30261 30386 D sharp_executorch_full: Part1 1x (0,4): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:39.933 30261 30386 D sharp_executorch_full: Part1 1x (0,4): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:39.936 30261 30386 D sharp_executorch_full: Part1 1x (0,4): calling Part2 forward
03-21 02:45:40.539 30261 30386 D sharp_executorch_full: Part1 1x (0,4): Part2 forward returned
03-21 02:45:41.172 30261 30386 D sharp_executorch_full: Part1 1x (1,0): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:41.172 30261 30386 D sharp_executorch_full: Part1 1x (1,0): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:41.172 30261 30386 D sharp_executorch_full: Part1 1x (1,0): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:41.175 30261 30386 D sharp_executorch_full: Part1 1x (1,0): calling Part2 forward
03-21 02:45:41.812 30261 30386 D sharp_executorch_full: Part1 1x (1,0): Part2 forward returned
03-21 02:45:41.858  1581  1984 D ActivityManager: freezing 28637 com.google.android.googlequicksearchbox:search
03-21 02:45:42.107  1581  1984 D ActivityManager: freezing 30422 com.google.android.photopicker
03-21 02:45:42.483 30261 30386 D sharp_executorch_full: Part1 1x (1,1): getting output tensors (readback may sync Vulkan fence)
